year,source,target,units,value
2024,electricity,industrial,EJ,0.044503876746922515
2024,electricity,residential,EJ,0.05477465095281977
2024,electricity,td_losses,EJ,0.010075984679398218
2024,electricity,transport,EJ,2.8535598760741327e-4
2024,en4water,energy_services,EJ,0.002485529715991769
2024,en4water,rejected_energy,EJ,0.0013383621547647985
2024,government,energy_services,EJ,3.1608025004840586e-4
2024,government,rejected_energy,EJ,1.701970577183724e-4
2024,industrial,energy_services,EJ,0.13626100280395922
2024,industrial,rejected_energy,EJ,0.14182267638779436
2024,onsiteBTM,commercial,EJ,1.3536158399999999e-5
2024,onsiteBTM,industrial,EJ,1.1244636e-6
2024,onsiteBTM,residential,EJ,5.0150379600000006e-5
2024,out_metro_elec_import,electricity,EJ,0.06569120466936851
2024,residential,energy_services,EJ,0.08931404918191876
2024,residential,rejected_energy,EJ,0.04809218032872549
2024,transport,energy_services,EJ,0.3489800199276161
2024,transport,rejected_energy,EJ,0.1879123184225625
