county,year,source,target,units,value
Fulton,2022,Distributed-scale Generation,electricity,EJ,1.572228e-4
Fulton,2022,On-Site Backup Generation,commercial,EJ,3.42e-7
Fulton,2022,Utility-scale Generation,electricity,EJ,1.275048e-4
Fulton,2023,Distributed-scale Generation,electricity,EJ,1.581804e-4
Fulton,2023,On-Site Backup Generation,commercial,EJ,4.644e-7
Fulton,2023,Utility-scale Generation,electricity,EJ,1.051092e-4
Fulton,2024,Distributed-scale Generation,electricity,EJ,1.481184e-4
Fulton,2024,On-Site Backup Generation,commercial,EJ,1.98e-7
Fulton,2024,Utility-scale Generation,electricity,EJ,0.00011362319999999999
Gwinnett,2020,Distributed-scale Generation,electricity,EJ,2.263176e-4
Gwinnett,2021,Distributed-scale Generation,electricity,EJ,2.379024e-4
Gwinnett,2022,Distributed-scale Generation,electricity,EJ,1.853856e-4
Gwinnett,2023,Distributed-scale Generation,electricity,EJ,2.260548e-4
Gwinnett,2024,Distributed-scale Generation,electricity,EJ,1.946448e-4
Rockdale,2020,Utility-scale Generation,electricity,EJ,5.9256e-6
Bartow,2020,onsiteBTM,residential,EJ,7.05528e-8
Bartow,2021,onsiteBTM,residential,EJ,1.815624e-7
Bartow,2022,onsiteBTM,residential,EJ,1.2388212e-6
Bartow,2023,onsiteBTM,residential,EJ,1.1232072e-6
Bartow,2024,onsiteBTM,residential,EJ,2.6613288e-6
Cherokee,2020,onsiteBTM,residential,EJ,5.88852e-8
Cherokee,2021,onsiteBTM,residential,EJ,8.28828e-8
Cherokee,2022,onsiteBTM,residential,EJ,4.3203960000000003e-7
Cherokee,2023,onsiteBTM,residential,EJ,4.71096e-7
Cherokee,2024,onsiteBTM,residential,EJ,1.0300176e-6
Clayton,2020,onsiteBTM,residential,EJ,1.357452e-7
Clayton,2021,onsiteBTM,residential,EJ,8.419536e-7
Clayton,2022,onsiteBTM,residential,EJ,4.4874972e-6
Clayton,2023,onsiteBTM,residential,EJ,4.2581016e-6
Clayton,2024,onsiteBTM,residential,EJ,7.1859996e-6
Cobb,2020,onsiteBTM,residential,EJ,7.35912e-8
Cobb,2021,onsiteBTM,residential,EJ,4.439232e-7
Cobb,2022,onsiteBTM,residential,EJ,1.6147152e-6
Cobb,2023,onsiteBTM,residential,EJ,1.464624e-6
Cobb,2024,onsiteBTM,residential,EJ,2.8447092e-6
Coweta,2020,onsiteBTM,residential,EJ,3.4974e-8
Coweta,2021,onsiteBTM,residential,EJ,9.01584e-8
Coweta,2022,onsiteBTM,residential,EJ,2.086848e-7
Coweta,2023,onsiteBTM,residential,EJ,2.01816e-7
Coweta,2024,onsiteBTM,residential,EJ,5.185836e-7
DeKalb,2020,onsiteBTM,residential,EJ,1.1479428e-6
DeKalb,2021,onsiteBTM,residential,EJ,4.1015412e-6
DeKalb,2022,onsiteBTM,residential,EJ,8.9338356e-6
DeKalb,2023,onsiteBTM,residential,EJ,8.368632e-6
DeKalb,2024,onsiteBTM,residential,EJ,1.37854296e-5
Douglas,2020,onsiteBTM,residential,EJ,3.5856e-9
Douglas,2021,onsiteBTM,residential,EJ,9.4752e-9
Douglas,2022,onsiteBTM,residential,EJ,2.789676e-7
Douglas,2023,onsiteBTM,residential,EJ,2.730636e-7
Douglas,2024,onsiteBTM,residential,EJ,5.326632e-7
Fayette,2020,onsiteBTM,residential,EJ,4.84956e-8
Fayette,2021,onsiteBTM,residential,EJ,6.82776e-8
Fayette,2022,onsiteBTM,residential,EJ,2.99736e-7
Fayette,2023,onsiteBTM,residential,EJ,3.122748e-7
Fayette,2024,onsiteBTM,residential,EJ,5.535252e-7
Forsyth,2020,onsiteBTM,residential,EJ,2.81826e-8
Forsyth,2021,onsiteBTM,residential,EJ,5.04252e-8
Forsyth,2022,onsiteBTM,residential,EJ,2.156868e-7
Forsyth,2023,onsiteBTM,residential,EJ,2.370564e-7
Forsyth,2024,onsiteBTM,residential,EJ,4.965408e-7
Fulton,2020,onsiteBTM,residential,EJ,7.439508e-7
Fulton,2021,onsiteBTM,residential,EJ,1.62558e-6
Fulton,2022,onsiteBTM,residential,EJ,4.9875228e-6
Fulton,2023,onsiteBTM,residential,EJ,4.8057516e-6
Fulton,2024,onsiteBTM,residential,EJ,8.4108816e-6
Gwinnett,2020,onsiteBTM,residential,EJ,1.315224e-7
Gwinnett,2021,onsiteBTM,residential,EJ,7.751772e-7
Gwinnett,2022,onsiteBTM,residential,EJ,3.37689e-6
Gwinnett,2023,onsiteBTM,residential,EJ,3.027744e-6
Gwinnett,2024,onsiteBTM,residential,EJ,5.9829588e-6
Hall,2020,onsiteBTM,residential,EJ,4.16844e-8
Hall,2021,onsiteBTM,residential,EJ,1.956132e-7
Hall,2022,onsiteBTM,residential,EJ,7.21278e-7
Hall,2023,onsiteBTM,residential,EJ,6.725484e-7
Hall,2024,onsiteBTM,residential,EJ,1.2519252e-6
Henry,2020,onsiteBTM,residential,EJ,7.88868e-8
Henry,2021,onsiteBTM,residential,EJ,4.10274e-7
Henry,2022,onsiteBTM,residential,EJ,2.0712636e-6
Henry,2023,onsiteBTM,residential,EJ,1.9801224e-6
Henry,2024,onsiteBTM,residential,EJ,4.2511932e-6
Paulding,2020,onsiteBTM,residential,EJ,8.8524e-9
Paulding,2021,onsiteBTM,residential,EJ,1.53468e-8
Paulding,2022,onsiteBTM,residential,EJ,1.2339e-7
Paulding,2023,onsiteBTM,residential,EJ,1.467324e-7
Paulding,2024,onsiteBTM,residential,EJ,2.661192e-7
Rockdale,2020,onsiteBTM,residential,EJ,2.1816e-9
Rockdale,2021,onsiteBTM,residential,EJ,4.40712e-8
Rockdale,2022,onsiteBTM,residential,EJ,2.630844e-7
Rockdale,2023,onsiteBTM,residential,EJ,2.375892e-7
Rockdale,2024,onsiteBTM,residential,EJ,3.78504e-7
Bartow,2020,onsiteBTM,commercial,EJ,9.5364e-9
Bartow,2021,onsiteBTM,commercial,EJ,9.5364e-9
Bartow,2022,onsiteBTM,commercial,EJ,9.5364e-9
Bartow,2023,onsiteBTM,commercial,EJ,9.5364e-9
Bartow,2024,onsiteBTM,commercial,EJ,3.98088e-8
Cherokee,2020,onsiteBTM,commercial,EJ,7.11e-9
Cherokee,2021,onsiteBTM,commercial,EJ,7.11e-9
Cherokee,2022,onsiteBTM,commercial,EJ,7.11e-9
Cherokee,2023,onsiteBTM,commercial,EJ,2.20608e-8
Cherokee,2024,onsiteBTM,commercial,EJ,2.53278e-7
Clayton,2020,onsiteBTM,commercial,EJ,1.37808e-7
Clayton,2021,onsiteBTM,commercial,EJ,2.572128e-7
Clayton,2022,onsiteBTM,commercial,EJ,4.694328e-7
