year,source,target,units,value
2022,Tallapoosa Basin,industrial,MGD,0
2022,Tallapoosa Basin,publicWatSup,MGD,1.2844525803664124
2022,Yates Plant,Discharge,MGD,10.5
2022,Yates Plant,Losses,MGD,2.2
2022,agricultural,losses,MGD,1.9603928722095667
2022,agricultural,wastewater,MGD,0
2022,commercial,losses,MGD,39.5286733442218
2022,commercial,wastewater,MGD,91.56437849813028
2022,groundwaterAllBasins,agricultural,MGD,1.688
2022,groundwaterAllBasins,industrial,MGD,6.217749999999998
2022,groundwaterAllBasins,publicWatSup,MGD,3.66
2022,groundwaterAllBasins,residential,MGD,5.9032145090000006
2022,in-county treatment,Creek,MGD,51.45279175027376
2022,in-county treatment,Lake,MGD,47.80320116672196
2022,in-county treatment,Land,MGD,8.344546003845727
2022,in-county treatment,Reservoir,MGD,1.5142790952441345
2022,in-county treatment,Reuse,MGD,2.8980425733431296
2022,in-county treatment,River,MGD,340.238455315632
2022,in-county treatment,Wetland,MGD,9.50037479334167
2022,industrial,discharge,MGD,17.764999999999997
2022,industrial,losses,MGD,5.089065300191752
2022,industrial,wastewater,MGD,17.565921643613812
2022,publicWatSup,agricultural,MGD,0.27239287220956676
2022,publicWatSup,commercial,MGD,131.09305184235208
2022,publicWatSup,industrial,MGD,22.65498694380556
2022,publicWatSup,losses,MGD,121.09464751899999
2022,publicWatSup,residential,MGD,356.7846404318332
2022,residential,losses,MGD,68.99380448879101
2022,residential,septic,MGD,68.50487596931507
2022,residential,wastewater,MGD,225.18917448272714
2022,subsurface,wastewater,MGD,127.43221607393124
2022,surfaceWater,Chattahoochee Basin,MGD,471.677490827252
2022,surfaceWater,Coosa_Etowah Basin,MGD,133.08314258074967
2022,surfaceWater,Flint Basin,MGD,28.416431942100225
2022,surfaceWater,Ocmulgee Basin,MGD,53.72545167873214
2022,surfaceWater,Oconee Basin,MGD,0
2022,surfaceWater,Tallapoosa Basin,MGD,1.2844525803664124
2022,wastewater,in-county treatment,MGD,389.3622482254025
2022,wastewater,ww_exports,MGD,72.38944247299999
2022,ww_imports,in-county treatment,MGD,72.38944247299999
2023,Bowen Plant,Discharge,MGD,17.5
2023,Bowen Plant,Losses,MGD,14.2
2023,Chattahoochee Basin,Jack McDonough Plant,MGD,11.2
2023,Chattahoochee Basin,Yates Plant,MGD,11.2
2023,Chattahoochee Basin,industrial,MGD,3.8785499999999993
2023,Chattahoochee Basin,publicWatSup,MGD,451.1926927936838
2023,Coosa_Etowah Basin,Bowen Plant,MGD,31.7
2023,Coosa_Etowah Basin,industrial,MGD,6.978075
2023,Coosa_Etowah Basin,publicWatSup,MGD,102.99745249670957
2023,Flint Basin,industrial,MGD,0.690625
2023,Flint Basin,publicWatSup,MGD,28.148775438485153
2023,Jack McDonough Plant,Discharge,MGD,3.6999999999999993
2023,Jack McDonough Plant,Losses,MGD,7.5
2023,Ocmulgee Basin,industrial,MGD,0
2023,Ocmulgee Basin,publicWatSup,MGD,54.5341262029137
2023,Oconee Basin,industrial,MGD,0
2023,Oconee Basin,publicWatSup,MGD,0
2023,Tallapoosa Basin,industrial,MGD,0
2023,Tallapoosa Basin,publicWatSup,MGD,1.3061343446106872
2023,Yates Plant,Discharge,MGD,7.999999999999999
2023,Yates Plant,Losses,MGD,3.2
2023,agricultural,losses,MGD,1.9640760475271597
2023,agricultural,wastewater,MGD,0
2023,commercial,losses,MGD,40.271207775615224
2023,commercial,wastewater,MGD,92.90447326609981
2023,groundwaterAllBasins,agricultural,MGD,1.688
2023,groundwaterAllBasins,industrial,MGD,6.217749999999998
2023,groundwaterAllBasins,publicWatSup,MGD,3.66
2023,groundwaterAllBasins,residential,MGD,5.998182614
2023,in-county treatment,Creek,MGD,52.36884751713228
2023,in-county treatment,Lake,MGD,48.80066243929095
2023,in-county treatment,Land,MGD,8.516450085052405
2023,in-county treatment,Reservoir,MGD,1.5279922307777305
2023,in-county treatment,Reuse,MGD,2.955005233814478
2023,in-county treatment,River,MGD,345.5332758344164
2023,in-county treatment,Wetland,MGD,9.577695127664267
2023,industrial,discharge,MGD,17.764999999999997
2023,industrial,losses,MGD,5.159520134056942
2023,industrial,wastewater,MGD,17.910874368497804
2023,publicWatSup,agricultural,MGD,0.2760760475271594
2023,publicWatSup,commercial,MGD,133.17568104171505
2023,publicWatSup,industrial,MGD,23.070394502554745
2023,publicWatSup,losses,MGD,122.98393958900002
2023,publicWatSup,residential,MGD,362.333090095606
2023,residential,losses,MGD,70.28509257140364
2023,residential,septic,MGD,69.00500200547945
2023,residential,wastewater,MGD,229.04117813272293
2023,subsurface,wastewater,MGD,129.42340270082806
2023,surfaceWater,Chattahoochee Basin,MGD,477.4712427936838
2023,surfaceWater,Coosa_Etowah Basin,MGD,141.67552749670958
2023,surfaceWater,Flint Basin,MGD,28.839400438485153
2023,surfaceWater,Ocmulgee Basin,MGD,54.5341262029137
2023,surfaceWater,Oconee Basin,MGD,0
2023,surfaceWater,Tallapoosa Basin,MGD,1.3061343446106872
2023,wastewater,in-county treatment,MGD,395.1275369581487
2023,wastewater,ww_exports,MGD,74.15239151
2023,ww_imports,in-county treatment,MGD,74.15239151
2024,Bowen Plant,Discharge,MGD,18.3
2024,Bowen Plant,Losses,MGD,15.3
2024,Chattahoochee Basin,Jack McDonough Plant,MGD,11.2
2024,Chattahoochee Basin,Yates Plant,MGD,6.2
2024,Chattahoochee Basin,industrial,MGD,3.8785499999999993
2024,Chattahoochee Basin,publicWatSup,MGD,458.31469450670784
2024,Coosa_Etowah Basin,Bowen Plant,MGD,33.6
2024,Coosa_Etowah Basin,industrial,MGD,6.978075
2024,Coosa_Etowah Basin,publicWatSup,MGD,104.38533808694538
2024,Flint Basin,industrial,MGD,0.690625
2024,Flint Basin,publicWatSup,MGD,28.574810543891306
2024,Jack McDonough Plant,Discharge,MGD,2.799999999999999
2024,Jack McDonough Plant,Losses,MGD,8.4
2024,Ocmulgee Basin,industrial,MGD,0
2024,Ocmulgee Basin,publicWatSup,MGD,55.32674653016072
