county,year,Single Family,Multifamily,Residential,Commercial,Institutional,Industrial,Municipal,Irrigation,Agricultural,Other,Self Supplied,New Commercial,Anheuser-Busch,NRW
Cherokee,2026,13.98846968,1.865508819,,0.758914511,0.183869112,0.742165082,,0.832942732,0.244437974,0.560848993,0.778085194,0.001798084,,4.024515621
Cherokee,2027,14.15797198,1.888113725,,0.768110496,0.186097107,0.751158109,,0.843035738,0.247399899,0.567644961,0.787513475,0.001819872,,4.073281832
Cherokee,2028,14.31001812,1.90839067,,0.776359435,0.188095652,0.759224991,,0.852089318,0.250056791,0.573741048,0.795970788,0.001839416,,4.117025866
Cherokee,2029,14.46496873,1.929054954,,0.784765948,0.190132374,0.767445971,,0.861315844,0.252764436,0.579953585,0.804589655,0.001859334,,4.161605518
Cherokee,2030,14.6260349,1.950534815,,0.793504249,0.192249482,0.775991416,,0.870906521,0.255578947,0.586411319,0.813548692,0.001880037,,4.207944637
Cherokee,2031,14.77488849,1.970385998,,0.801579983,0.194206063,0.783888916,,0.879770001,0.258180051,0.592379404,0.821828423,0.001899171,,4.250770164
Cherokee,2032,14.93530155,1.991778758,,0.81028285,0.196314586,0.792399708,,0.889321788,0.260983148,0.598810951,0.83075113,0.001919791,,4.296921377
Cherokee,2033,15.10243021,2.014067114,,0.819350058,0.198511381,0.801266801,,0.899273456,0.263903596,0.605511751,0.840047382,0.001941273,,4.345004685
Cherokee,2034,15.26506219,2.035755791,,0.828173308,0.20064907,0.80989532,,0.908957369,0.266745467,0.612032263,0.849093514,0.001962178,,4.391794289
Cherokee,2035,15.42476369,2.057053656,,0.836837571,0.202748239,0.818368361,,0.918466787,0.269536131,0.618435281,0.857976642,0.001982706,,4.437740785
Cherokee,2036,15.60568642,2.081181596,,0.846653148,0.205126348,0.827967305,,0.929239822,0.272697619,0.625689137,0.868040166,0.002005962,,4.489792682
Cherokee,2037,15.77945689,2.104355708,,0.856080693,0.207410445,0.837186782,,0.939586977,0.275734127,0.632656231,0.877705858,0.002028299,,4.539786856
Cherokee,2038,15.96256979,2.128775728,,0.866015092,0.209817342,0.846901926,,0.950490425,0.278933887,0.639997898,0.887891206,0.002051836,,4.592468865
Cherokee,2039,16.16374927,2.155605118,,0.876929654,0.212461713,0.857575602,,0.962469647,0.282449347,0.648063921,0.899081478,0.002077696,,4.650348677
