data_status,msn,statecode,year,data
2024,BDSUB,GA,2021,2718
2024,BDSUB,GA,2022,2472
2024,BDSUB,GA,2023,3988
2024,BDSUB,GA,2024,4046
2024,BDSUP,GA,2021,507
2024,BDSUP,GA,2022,461
2024,BDSUP,GA,2023,744
2024,BDSUP,GA,2024,755
2024,BDTCB,GA,2020,5980
2024,BDTCB,GA,2021,4726
2024,BDTCB,GA,2022,4211
2024,BDTCB,GA,2023,6335
2024,BDTCB,GA,2024,6227
2024,BDTCK,GA,2020,5.359
2024,BDTCK,GA,2021,5.359
2024,BDTCK,GA,2022,5.359
2024,BDTCK,GA,2023,5.359
2024,BDTCK,GA,2024,5.359
2024,BDTCP,GA,2020,1116
2024,BDTCP,GA,2021,882
2024,BDTCP,GA,2022,786
2024,BDTCP,GA,2023,1182
2024,BDTCP,GA,2024,1162
2024,BDTXB,GA,2020,5968
2024,BDTXB,GA,2021,4717
2024,BDTXB,GA,2022,4204
2024,BDTXB,GA,2023,6331
2024,BDTXB,GA,2024,6219
2024,BDTXP,GA,2020,1114
2024,BDTXP,GA,2021,880
2024,BDTXP,GA,2022,784
2024,BDTXP,GA,2023,1181
2024,BDTXP,GA,2024,1160
2024,BDXUB,GA,2021,2710
2024,BDXUB,GA,2022,2465
2024,BDXUB,GA,2023,3984
2024,BDXUB,GA,2024,4037
2024,BDXUP,GA,2021,506
2024,BDXUP,GA,2022,460
2024,BDXUP,GA,2023,743
2024,BDXUP,GA,2024,753
2024,BFLCB,GA,2020,2596
2024,BFLCB,GA,2021,26
2024,BFLCB,GA,2022,6
2024,BFLCB,GA,2023,0
2024,BFLCB,GA,2024,0
2024,BFPRB,GA,2020,7968
2024,BFPRB,GA,2021,1908
2024,BFPRB,GA,2022,438
2024,BFPRB,GA,2023,18
2024,BFPRB,GA,2024,0
2024,BFPRP,GA,2020,1413
2024,BFPRP,GA,2021,351
2024,BFPRP,GA,2022,81
2024,BFPRP,GA,2023,3
2024,BFPRP,GA,2024,0
2024,BFTCB,GA,2020,45949
2024,BFTCB,GA,2021,43602
2024,BFTCB,GA,2022,42456
2024,BFTCB,GA,2023,48346
2024,BFTCB,GA,2024,47015
2024,BMCAS,GA,2020,68.1
2024,BMCAS,GA,2021,70.1
2024,BMCAS,GA,2022,66.3
2024,BMCAS,GA,2023,58.7
2024,BMCAS,GA,2024,63.5
2024,BMTCB,GA,2020,256340
2024,BMTCB,GA,2021,258089
2024,BMTCB,GA,2022,264421
2024,BMTCB,GA,2023,261815
2024,BMTCB,GA,2024,254151
2024,BOPRB,GA,2020,0
2024,BOPRB,GA,2021,0
2024,BOPRB,GA,2022,0
2024,BOPRB,GA,2023,0
2024,BOPRB,GA,2024,0
2024,BOPRP,GA,2020,0
2024,BOPRP,GA,2021,0
2024,BOPRP,GA,2022,0
2024,BOPRP,GA,2023,0
2024,BOPRP,GA,2024,0
2024,BQICB,GA,2020,0
2024,BQICB,GA,2021,0
2024,BQICB,GA,2022,0
2024,BQICB,GA,2023,0
2024,BQICB,GA,2024,0
2024,BQICP,GA,2020,0
2024,BQICP,GA,2021,0
2024,BQICP,GA,2022,0
2024,BQICP,GA,2023,0
2024,BQICP,GA,2024,0
2024,BQTCB,GA,2020,0
2024,BQTCB,GA,2021,0
2024,BQTCB,GA,2022,0
2024,BQTCB,GA,2023,0
2024,BQTCB,GA,2024,0
2024,BQTCP,GA,2020,0
2024,BQTCP,GA,2021,0
2024,BQTCP,GA,2022,0
2024,BQTCP,GA,2023,0
2024,BQTCP,GA,2024,0
2024,BTCAS,GA,2020,0.1
2024,BTCAS,GA,2021,3.6
2024,BTCAS,GA,2022,6
2024,BTCAS,GA,2023,7.1
2024,BTCAS,GA,2024,7.9
2024,BTGBP,GA,2020,2
2024,BTGBP,GA,2021,42
2024,BTGBP,GA,2022,81
2024,BTGBP,GA,2023,81
2024,BTGBP,GA,2024,146
2024,BTVHN,GA,2020,22.5
2024,BTVHN,GA,2021,32.9
2024,BTVHN,GA,2022,50.4
2024,BTVHN,GA,2023,88.4
2024,BTVHN,GA,2024,115.9
2024,BTVHP,GA,2020,41
2024,BTVHP,GA,2021,50
2024,BTVHP,GA,2022,81
2024,BTVHP,GA,2023,239
2024,BTVHP,GA,2024,342
2024,BXSUB,GA,2021,2718
2024,BXSUB,GA,2022,2472
2024,BXSUB,GA,2023,3988
2024,BXSUB,GA,2024,4046
2024,BXSUP,GA,2021,507
2024,BXSUP,GA,2022,461
2024,BXSUP,GA,2023,744
2024,BXSUP,GA,2024,755
2024,BYICB,GA,2020,0
2024,BYICB,GA,2021,0
2024,BYICB,GA,2022,0
2024,BYICB,GA,2023,0
2024,BYICB,GA,2024,0
2024,BYICP,GA,2020,0
2024,BYICP,GA,2021,0
2024,BYICP,GA,2022,0
2024,BYICP,GA,2023,0
2024,BYICP,GA,2024,0
2024,BYTCB,GA,2020,0
2024,BYTCB,GA,2021,0
2024,BYTCB,GA,2022,0
2024,BYTCB,GA,2023,0
2024,BYTCB,GA,2024,0
2024,BYTCP,GA,2020,0
2024,BYTCP,GA,2021,0
2024,BYTCP,GA,2022,0
2024,BYTCP,GA,2023,0
2024,BYTCP,GA,2024,0
