Basin,Wastewater Treatment Facilities,Receiving Water Body,Receiving Type,County,Permitted Treatment Capacity 2021 (MMF-MGD)
Chattahoochee Basin,Cumming Habersham WPCP,Lake Lanier,Lake,Forsyth,0.11
Chattahoochee Basin,"Atlanta R.M. Clayton, Utoy Creek and South River WRC",Chattahoochee River,River,Fulton,188
Chattahoochee Basin,Fulton Big Creek WPCP,Chattahoochee River,River,Fulton,24
Chattahoochee Basin,Fulton Camp Creek WRF,Chattahoochee River,River,Fulton,24
Chattahoochee Basin,Fulton Johns Creek Environmental Campus,Chattahoochee River,River,Fulton,15
Chattahoochee Basin,Fulton Little Bear WRF,Little Bear Creek,Creek,Fulton,0.1
Coosa_Etowah Basin,Fulton Little River WPCP,Little River,River,Fulton,2.6
Chattahoochee Basin,Buford Southside WPCP,Little Suwanee Creek,Creek,Gwinnett,2
Chattahoochee Basin,Buford Westside WPCP,Richland Creek,Creek,Gwinnett,0.25
Chattahoochee Basin,Gwinnett Crooked Creek WPCP,Chattahoochee River,River,Gwinnett,16
Chattahoochee Basin,Gwinnett F. Wayne Hill WRC,"Lake Lanier, Chattahoochee River",Lake,Gwinnett,60
Ocmulgee Basin,Gwinnett Yellow River WPCP,Yellow River,River,Gwinnett,22
Chattahoochee Basin,Flowery Branch WPCP,Lake Lanier,Lake,Hall,0.4
Chattahoochee Basin,Gainesville Flat Creek WRF,Flat Creek,Creek,Hall,12
Chattahoochee Basin,Gainesville Linwood WRF,Lake Lanier,Lake,Hall,5
Chattahoochee Basin,Lula WRF,Hagen Creek,Creek,Hall,0.375
Oconee Basin,Hall Spout Springs,Lollis Creek,Creek,Hall,0.75
Flint Basin,Hampton WPCP,Bear Creek Tributary,Creek,Henry,1.75
Flint Basin,Henry Bear Creek LAS,Land Application,Land,Henry,1.25
Ocmulgee Basin,Henry Walnut Creek LAS,Land Application,Land,Henry,8
Ocmulgee Basin,Henry Indian Creek WRF,Indian Creek,Creek,Henry,3
Ocmulgee Basin,Locust Grove Indian Creek WPCP,Indian Creek to Towaliga River,Creek,Henry,1.5
Ocmulgee Basin,McDonough Walnut Creek WPCP,Walnut Creek,Creek,Henry,2
Ocmulgee Basin,Stockbridge Stephen D. Peurifoy WPCP,Bush Creek Tributary,Creek,Henry,1.5
Chattahoochee Basin,Paulding Coppermine LAS,Land Application,Land,Paulding,1.033
Chattahoochee Basin,Paulding Coppermine Road WRF,Mill Creek,Creek,Paulding,1
Chattahoochee Basin,Paulding Upper Sweetwater WRF,Reuse,Reuse,Paulding,0.3
Coosa_Etowah Basin,Dallas Pumpkinvine Creek WPCP,Pumpkinvine Creek,Creek,Paulding,1.5
Coosa_Etowah Basin,Paulding Pumpkinvine WRF,"Pumpkinvine Creek, Reuse",Reuse,Paulding,1.5
Ocmulgee Basin,Rockdale Almand Branch WPCP,Almand Creek to South River,River,Rockdale,1.25
Ocmulgee Basin,Rockdale Honey Creek WPCP,McClains Branch,Creek,Rockdale,0.3
Ocmulgee Basin,Rockdale Quigg Branch WPCP,Yellow River,River,Rockdale,7
Ocmulgee Basin,Rockdale Scott Creek WPCP,Scott Creek to South River,River,Rockdale,0.45
Ocmulgee Basin,Rockdale Snapping Shoals WPCP,Snapping Shoals Creek,Creek,Rockdale,3
