source,source_agg,target,target_agg
Petroleum,Petroleum,On-Site Backup Generation,Small-scale generation
Petroleum,Petroleum,Yates Plant,Yates Plant
Petroleum,Petroleum,commercial,commercial
Petroleum,Petroleum,industrial,industrial
Petroleum,Petroleum,residential,residential
Petroleum,Petroleum,transport,transport
Solar,Renewables,Distributed-scale Generation,Small-scale generation
Solar,Renewables,On-Site Backup Generation,Small-scale generation
Solar,Renewables,commercial,commercial
Solar,Renewables,residential,residential
Utility-scale Generation,Small-scale generation,electricity,electricity
Yates Plant,Yates Plant,electricity,electricity
electricity,electricity,commercial,commercial
electricity,electricity,government,government
electricity,electricity,transport,transport
out_metro_elec_import,out_metro_elec_import,electricity,electricity
Bowen Plant,Bowen Plant,Discharge,Disposal
Bowen Plant,Bowen Plant,Losses,Water Losses
Chattahoochee Basin,Basins,Jack McDonough Plant,Jack McDonough Plant
Chattahoochee Basin,Basins,Yates Plant,Yates Plant
Chattahoochee Basin,Basins,industrial,industrial
Chattahoochee Basin,Basins,publicWatSup,publicWatSup
Coosa_Etowah Basin,Basins,Bowen Plant,Bowen Plant
Coosa_Etowah Basin,Basins,industrial,industrial
Coosa_Etowah Basin,Basins,publicWatSup,publicWatSup
Flint Basin,Basins,industrial,industrial
Flint Basin,Basins,publicWatSup,publicWatSup
Jack McDonough Plant,Jack McDonough Plant,Discharge,Disposal
Jack McDonough Plant,Jack McDonough Plant,Losses,Water Losses
Ocmulgee Basin,Basins,industrial,industrial
Ocmulgee Basin,Basins,publicWatSup,publicWatSup
Oconee Basin,Basins,industrial,industrial
Oconee Basin,Basins,publicWatSup,publicWatSup
Tallapoosa Basin,Basins,industrial,industrial
Tallapoosa Basin,Basins,publicWatSup,publicWatSup
Yates Plant,Yates Plant,Discharge,Disposal
Yates Plant,Yates Plant,Losses,Water Losses
agricultural,agricultural,losses,Water Losses
agricultural,agricultural,wastewater,wastewater
commercial,commercial,losses,Water Losses
commercial,commercial,wastewater,wastewater
groundwaterAllBasins,groundwaterAllBasins,agricultural,agricultural
groundwaterAllBasins,groundwaterAllBasins,industrial,industrial
groundwaterAllBasins,groundwaterAllBasins,publicWatSup,publicWatSup
groundwaterAllBasins,groundwaterAllBasins,residential,residential
industrial,industrial,discharge,Disposal
industrial,industrial,losses,Disposal
industrial,industrial,wastewater,wastewater
publicWatSup,publicWatSup,agricultural,agricultural
publicWatSup,publicWatSup,commercial,commercial
publicWatSup,publicWatSup,industrial,industrial
publicWatSup,publicWatSup,losses,Water Losses
publicWatSup,publicWatSup,residential,residential
residential,residential,losses,Water Losses
residential,residential,septic,septic
residential,residential,wastewater,wastewater
subsurface,subsurface,wastewater,wastewater
wastewater,wastewater,in-county treatment,in-county treatment
wastewater,wastewater,ww_exports,ww_exports
ww_imports,ww_imports,wastewater,wastewater
surfaceWater,surfaceWater,Chattahoochee Basin,Basins
surfaceWater,surfaceWater,Coosa_Etowah Basin,Basins
surfaceWater,surfaceWater,Flint Basin,Basins
surfaceWater,surfaceWater,Ocmulgee Basin,Basins
surfaceWater,surfaceWater,Oconee Basin,Basins
surfaceWater,surfaceWater,Tallapoosa Basin,Basins
ww_exports,ww_exports,Creek,Disposal
ww_exports,ww_exports,Lake,Disposal
ww_exports,ww_exports,River,Disposal
ww_exports,ww_exports,Wetland,Disposal
ww_exports,ww_exports,Reuse,Disposal
in-county treatment,in-county treatment,Creek,Disposal
in-county treatment,in-county treatment,Lake,Disposal
in-county treatment,in-county treatment,Land,Disposal
ww_exports,ww_exports,Land,Disposal
in-county treatment,in-county treatment,Reservoir,Disposal
ww_exports,ww_exports,Reservoir,Disposal
in-county treatment,in-county treatment,Reuse,Disposal
in-county treatment,in-county treatment,River,Disposal
in-county treatment,in-county treatment,Wetland,Disposal
