county,geoid,geoidfq,tract,pop,median_age,land_km2,water_km2,water_share,pop_density,housing_units,housing_occupied,housing_vacant,hu_density,vacancy_rate,persons_per_hh,median_hh_income,income_per_capita,poverty_universe,poverty_below,poverty_rate,commuters,commute_drove_alone,commute_transit,commute_wfh,mean_commute_min,drove_alone_share,transit_share,wfh_share
Cobb,13067031319,1400000US13067031319,031319,4799,36.3,5.411565,0.077307,0.014084314591413318,886.8044641429974,2230,1941,289,412.080424054779,0.1295964125560538,2.47,42105,25381,4781,1375,0.287596737084292,2669,1927,77,174,30.190380761523045,0.7219932559010865,0.028849756463094792,0.06519295616335706
Cobb,13067031320,1400000US13067031320,031320,4863,30.3,2.009061,0,0,2420.5337717470998,2012,1849,163,1001.4628724563365,0.08101391650099403,2.63,55169,31456,4863,753,0.15484268969771744,2441,1889,43,91,28.22553191489362,0.7738631708316264,0.017615731257681278,0.03727980335927898
Cobb,13067031321,1400000US13067031321,031321,2177,28.2,9.652904,0.201035,0.020401486146808905,225.52798618944104,737,692,45,76.35008076326046,0.06105834464043419,3.15,52125,21378,2164,444,0.20517560073937152,1193,679,0,176,25.64896755162242,0.5691533948030176,0,0.14752724224643754
Cobb,13067031322,1400000US13067031322,031322,4015,38.4,4.113011,0,0,976.1704989361808,1823,1555,268,443.22760138497074,0.14701042238069117,2.58,69530,31921,4004,219,0.054695304695304696,2438,1656,0,331,28.915519696250595,0.6792452830188679,0,0.1357670221493027
Cobb,13067031323,1400000US13067031323,031323,2988,40.1,3.856335,0.002518,6.525255043402793e-4,774.8289502856987,1082,899,183,280.5772838718628,0.16913123844731978,3.3,84981,37455,2988,119,0.03982597054886212,1333,806,0,427,39.790286975717436,0.6046511627906976,0,0.32033008252063017
Cobb,13067031324,1400000US13067031324,031324,4212,39.6,6.565833,0.00575,8.749794379832074e-4,641.5027613404118,1826,1701,125,278.10637279382524,0.06845564074479737,2.48,69347,41149,4201,368,0.08759819090692693,1767,1439,0,290,30.233581584292484,0.8143746462931523,0,0.16411997736276174
Cobb,13067031325,1400000US13067031325,031325,1861,42.9,3.787122,0.020374,0.005351023349729061,491.4021782239917,782,748,34,206.48925490121522,0.043478260869565216,2.49,130490,61757,1861,55,0.02955400322407308,1078,772,0,239,34.24910607866508,0.7161410018552876,0,0.22170686456400743
Cobb,13067031409,1400000US13067031409,031409,6015,36.7,13.498218,0.011929,8.829659662474435e-4,445.6143766532738,2480,2325,155,183.7279557938685,0.0625,2.59,68878,31521,6015,401,0.06666666666666667,2948,2327,10,285,28.834021779947427,0.7893487109905021,0.0033921302578018998,0.09667571234735414
Cobb,13067031410,1400000US13067031410,031410,4898,40.7,4.17977,0,0,1171.8348138773185,1815,1815,0,434.2344195972505,0,2.67,125193,44414,4844,313,0.06461601981833195,2465,1475,36,853,30.82196029776675,0.5983772819472617,0.01460446247464503,0.3460446247464503
Cobb,13067031411,1400000US13067031411,031411,4197,34.9,5.948299,0,0,705.5798640922388,1630,1607,23,274.0279195783534,0.01411042944785276,2.61,66430,28685,4197,812,0.19347152728139147,2184,1623,35,342,31.411509229098804,0.7431318681318682,0.016025641025641024,0.1565934065934066
Cobb,13067031412,1400000US13067031412,031412,4552,38.6,4.040315,0,0,1126.6448284354067,2057,1902,155,509.11871970378553,0.07535245503159942,2.26,65046,25006,4286,906,0.21138590760615958,2179,1716,0,112,27.77697145621674,0.7875172097292336,0,0.05139972464433226
Cobb,13067031413,1400000US13067031413,031413,3954,28.3,2.195006,0,0,1801.3618186009517,1516,1503,13,690.6587043497832,0.008575197889182058,2.55,63433,30369,3839,295,0.07684292784579318,2431,1877,1,201,35.237668161434975,0.7721102426984779,4.1135335252982314e-4,0.08268202385849445
Cobb,13067031414,1400000US13067031414,031414,4039,46.3,5.74375,0.043856,0.00757757179738911,703.1991294885745,1634,1479,155,284.48313384113163,0.094859241126071,2.73,109214,53788,4039,269,0.06660064372369398,2078,1507,0,494,33.00189393939394,0.7252165543792107,0,0.2377285851780558
Cobb,13067031415,1400000US13067031415,031415,2051,33.1,3.039467,0.012326,0.004038937110085776,674.7893627402435,702,683,19,230.96154687647538,0.027065527065527065,2.97,64289,28374,2051,310,0.15114578254509994,757,598,0,69,39.3531976744186,0.7899603698811096,0,0.09114927344782034
Cobb,13067031416,1400000US13067031416,031416,4377,33.7,9.867798,0.031387,0.0031706650598003774,443.5640048570106,1397,1397,0,141.57160493151562,0,3.12,91696,30111,4358,290,0.06654428636989444,2105,1630,6,253,31.95194384449244,0.7743467933491687,0.0028503562945368173,0.12019002375296912
Cobb,13067031417,1400000US13067031417,031417,3273,36.9,4.722939,0,0,693.000693000693,1215,1077,138,257.2550693540611,0.11358024691358025,3.04,51502,27320,3273,153,0.04674610449129239,1658,1239,0,134,25.71194225721785,0.747285886610374,0,0.08082026537997587
Cobb,13067031506,1400000US13067031506,031506,6458,42,9.308895,0.01476,0.0015830701586448661,693.745068560769,2282,2239,43,245.14187774166538,0.018843120070113933,2.88,81399,35007,6458,887,0.13734902446577887,3030,2113,0,527,35.64123052337195,0.69735973597359735,0,0.17392739273927393
Cobb,13067031507,1400000US13067031507,031507,3208,37.7,3.969782,0,0,808.1048279225408,1234,1081,153,310.84830350885767,0.1239870340356564,2.77,93977,42730,2956,244,0.08254397834912043,1602,1334,30,147,33.233676975945016,0.83270911360799,0.018726591760299626,0.09176029962546817
Cobb,13067031510,1400000US13067031510,031510,3242,28.4,3.933175,0.033296,0.008394363654744986,824.2704685146224,1056,1011,45,268.4853839455402,0.04261363636363636,3.2,78731,33313,3229,274,0.08485599256735832,1631,1170,0,318,34.24219345011424,0.7173513182096873,0,0.19497240956468423
Cobb,13067031511,1400000US13067031511,031511,6578,39.6,12.082317,0.021515,0.001777536238110377,544.4319992597447,2428,2362,66,200.95483341481605,0.027182866556836903,2.78,98848,42054,6578,582,0.0884767406506537,3206,2431,17,534,36.319236526946106,0.7582657517155333,0.005302557704304429,0.16656269494697443
