year,source,target,units,value
2023,Jack McDonough,elec_own_use,PJ,0.8709894000000079
2023,Jack McDonough,electricity,PJ,64.16849159999998
2023,Jack McDonough Plant,Disposal,MGD,3.6999999999999993
2023,Jack McDonough Plant,Water Losses,MGD,7.5
2023,Natural Gas,Jack McDonough,PJ,130.13106390000002
2023,Natural Gas,On-Site Backup Generation,PJ,0
2023,Natural Gas,Small-scale generation,PJ,0.46392781
2023,Natural Gas,Yates Plant,PJ,25.420202845
2023,Natural Gas,commercial,PJ,29.049415946367155
2023,Natural Gas,industrial,PJ,88.57813708432118
2023,Natural Gas,residential,PJ,69.03944223795584
2023,Natural Gas,transport,PJ,7.001659755709556
2023,Petroleum,Bowen Plant,PJ,0.16053513
2023,Petroleum,Jack McDonough,PJ,0.006236105
2023,Petroleum,Small-scale generation,PJ,0.001773455
2023,Petroleum,Yates Plant,PJ,0
2023,Petroleum,commercial,PJ,13.449671689513753
2023,Petroleum,industrial,PJ,46.78103518278841
2023,Petroleum,residential,PJ,3.867263122532183
2023,Petroleum,transport,PJ,515.4698342022017
2023,Renewables,Small-scale generation,PJ,1.1391052076800001
2023,Renewables,commercial,PJ,0.15906959540384336
2023,Renewables,industrial,PJ,0.004447335922143604
2023,Renewables,residential,PJ,0.7168829267132509
2023,Small-scale generation,commercial,PJ,0.0035928
2023,Small-scale generation,electricity,PJ,1.5162335999999998
2023,Yates Plant,Disposal,MGD,7.999999999999999
2023,Yates Plant,Energy Losses,PJ,16.849046292999997
2023,Yates Plant,Water Losses,MGD,3.2
2023,Yates Plant,elec_own_use,PJ,0.5101049520000005
2023,Yates Plant,electricity,PJ,8.0610516
2023,agricultural,Water Losses,MGD,1.9640760475271597
2023,agricultural,wastewater,MGD,0
2023,commercial,Water Losses,MGD,40.271207775615224
2023,commercial,energy_services,PJ,67.93288438220189
2023,commercial,rejected_energy,PJ,36.57924543657025
2023,commercial,wastewater,MGD,92.90447326609981
2023,electricity,Bowen Plant,PJ,0.022812021679063363
2023,electricity,Energy Losses,PJ,9.724401631958006
2023,electricity,Jack McDonough Plant,PJ,0.00805976791184573
2023,electricity,Yates Plant,PJ,0.00805976791184573
2023,electricity,agricultural,PJ,0.0015820960192837465
2023,electricity,commercial,PJ,61.3568391494343
2023,electricity,en4water,PJ,3.766045434547328
2023,electricity,government,PJ,0.5270090414303781
2023,electricity,in-county treatment,PJ,1.9238975371422995
2023,electricity,industrial,PJ,44.214808863725366
2023,electricity,publicWatSup,PJ,1.340775884769216
2023,electricity,residential,PJ,51.992985672739295
2023,electricity,transport,PJ,0.27119596130292095
2023,electricity,ww_exports,PJ,0.40533476856762246
2023,en4water,energy_services,PJ,2.4479295324557633
2023,en4water,rejected_energy,PJ,1.3181159020915647
2023,government,energy_services,PJ,0.34255587692974576
2023,government,rejected_energy,PJ,0.18445316450063232
2023,groundwaterAllBasins,agricultural,MGD,1.688
2023,groundwaterAllBasins,industrial,MGD,6.217749999999998
2023,groundwaterAllBasins,publicWatSup,MGD,3.66
2023,groundwaterAllBasins,residential,MGD,5.998182614
2023,in-county treatment,Disposal,MGD,469.27992846814846
2023,industrial,Disposal,MGD,22.92452013405694
2023,industrial,energy_services,PJ,137.99875654396303
2023,industrial,rejected_energy,PJ,143.63135885187987
2023,industrial,wastewater,MGD,17.910874368497804
2023,out_metro_elec_import,electricity,PJ,61.230850564591364
