county,year,source,target,units,value
Bartow,2022,transport,energy_services,PJ,6.463711921251839
Bartow,2022,transport,rejected_energy,PJ,3.480460265289451
Bartow,2022,treat_groundwater,industrial,PJ,1.942240225366239e-4
Bartow,2022,treat_groundwater,publicWatSup,PJ,5.92614e-5
Bartow,2022,treat_groundwater,residential,PJ,9.706682924082e-5
Bartow,2022,treat_surfaceWater,Bowen Plant,PJ,0.013038164999999999
Bartow,2022,treat_surfaceWater,industrial,PJ,7.126059084706098e-4
Bartow,2022,treat_surfaceWater,publicWatSup,PJ,0.012570453814602369
Bartow,2022,wastewater,ADAIRSVILLE NORTH WPCP,MGD,0.8343395644868904
Bartow,2022,wastewater,ADAIRSVILLE SOUTH WPCP,MGD,0.28283749264437286
Bartow,2022,wastewater,BARTOW SOUTHEAST WPCP,MGD,0.009569602936177923
Bartow,2022,wastewater,BARTOW TWO RUN WPCP,MGD,0.06011265312276776
Bartow,2022,wastewater,CARTERSVILLE JAMES R. STAFFORD WPCP,MGD,8.9644380835752
Bartow,2022,wastewater,COBB NORTHWEST WRF,MGD,0.11360352800000001
Bartow,2022,wastewater,EMERSON HENRY JORDAN WWTP,MGD,0.14077223194691862
Bartow,2023,ADAIRSVILLE NORTH WPCP,Oothkalooga Creek_ds,MGD,0.8464729475390156
Bartow,2023,ADAIRSVILLE SOUTH WPCP,Oothkalooga Creek_ds,MGD,0.28695065685931376
Bartow,2023,Allatoona Lake,publicWatSup,MGD,20.21652675081775
Bartow,2023,BARTOW SOUTHEAST WPCP,Etowah River_ds,MGD,0.009708768886138351
Bartow,2023,BARTOW TWO RUN WPCP,Two Run Creek_ds,MGD,0.060986841376163885
Bartow,2023,Basins,Bowen Plant,MGD,31.7
Bartow,2023,Basins,industrial,MGD,1.339056896237311
Bartow,2023,Biomass,commercial,PJ,0.009811995575100466
Bartow,2023,Biomass,industrial,PJ,1.9816393968461283
Bartow,2023,Biomass,residential,PJ,0.05458539214349187
Bartow,2023,Biomass,transport,PJ,0.445442672862466
Bartow,2023,Bolivar Springs,publicWatSup,MGD,0.6795471176745463
Bartow,2023,Bowen Plant,Disposal,MGD,17.5
Bartow,2023,Bowen Plant,Energy Losses,PJ,65.8157581
Bartow,2023,Bowen Plant,Water Losses,MGD,14.2
Bartow,2023,Bowen Plant,elec_own_use,PJ,3.393160199999995
